parameter,value,F,A,H
TOP_K,1.0,0.11457431457431458,0.3961038961038961,0.1777374927982444
TOP_K,3.0,0.11457431457431458,0.4155844155844156,0.17962657919108657
TOP_K,5.0,0.11457431457431458,0.34415584415584416,0.1719155333499467
TOP_K,7.0,0.11457431457431458,0.38961038961038963,0.17707535738445873
TOP_K,10.0,0.11457431457431458,0.35064935064935066,0.17271438239180176
TFIDF_MAX_FEATURES,50000.0,0.11457431457431458,0.42207792207792205,0.18022579732716867
TFIDF_MAX_FEATURES,100000.0,0.11457431457431458,0.34415584415584416,0.1719155333499467
TFIDF_MAX_FEATURES,200000.0,0.11457431457431458,0.36363636363636365,0.17424699621440723
TFIDF_MAX_FEATURES,300000.0,0.11457431457431458,0.3961038961038961,0.1777374927982444
TFIDF_MAX_FEATURES,400000.0,0.11457431457431458,0.2857142857142857,0.16355958389123496
TFIDF_MAX_FEATURES,500000.0,0.11457431457431458,0.35064935064935066,0.17271438239180176
TFIDF_CANDIDATE_K,100.0,0.11457431457431458,0.3181818181818182,0.16848040255842855
TFIDF_CANDIDATE_K,200.0,0.11457431457431458,0.3246753246753247,0.16937727187398674
TFIDF_CANDIDATE_K,300.0,0.11457431457431458,0.33766233766233766,0.17109374352514112
TFIDF_CANDIDATE_K,400.0,0.11457431457431458,0.3181818181818182,0.16848040255842855
TFIDF_CANDIDATE_K,500.0,0.11457431457431458,0.33116883116883117,0.17024801032570538
PRIOR_TOP_N,0.0,0.11457431457431458,0.38311688311688313,0.17639594386477542
PRIOR_TOP_N,10.0,0.11457431457431458,0.4155844155844156,0.17962657919108657
PRIOR_TOP_N,20.0,0.11457431457431458,0.2727272727272727,0.16136024928871429
PRIOR_TOP_N,30.0,0.11457431457431458,0.36363636363636365,0.17424699621440723
PRIOR_TOP_N,50.0,0.11457431457431458,0.34415584415584416,0.1719155333499467
PRIOR_WEIGHT,0.0,0.11457431457431458,0.42857142857142855,0.18081068771823286
PRIOR_WEIGHT,0.25,0.11457431457431458,0.4090909090909091,0.17901250031313412
PRIOR_WEIGHT,0.5,0.11457431457431458,0.3116883116883117,0.16755620817909242
PRIOR_WEIGHT,0.75,0.11457431457431458,0.37662337662337664,0.17569856700291483
PRIOR_WEIGHT,1.0,0.11457431457431458,0.38311688311688313,0.17639594386477542
MAX_LENGTH,128.0,0.11457431457431458,0.38311688311688313,0.17639594386477542
MAX_LENGTH,256.0,0.11457431457431458,0.38961038961038963,0.17707535738445873
MAX_LENGTH,384.0,0.11457431457431458,0.38311688311688313,0.17639594386477542
MAX_LENGTH,512.0,0.11457431457431458,0.37662337662337664,0.17569856700291483
MAX_LENGTH,768.0,0.11457431457431458,0.3051948051948052,0.16660342064260938
BATCH_SIZE,2.0,0.11457431457431458,0.4090909090909091,0.17901250031313412
BATCH_SIZE,4.0,0.11457431457431458,0.35064935064935066,0.17271438239180176
BATCH_SIZE,8.0,0.11457431457431458,0.35064935064935066,0.17271438239180176
BATCH_SIZE,16.0,0.11457431457431458,0.33766233766233766,0.17109374352514112
BATCH_SIZE,32.0,0.11457431457431458,0.3181818181818182,0.16848040255842855
NUM_EPOCHS,2.0,0.11457431457431458,0.37012987012987014,0.17498250484258224
NUM_EPOCHS,4.0,0.11457431457431458,0.37662337662337664,0.17569856700291483
NUM_EPOCHS,6.0,0.11457431457431458,0.44155844155844154,0.1819394927853672
NUM_EPOCHS,8.0,0.11457431457431458,0.34415584415584416,0.1719155333499467
NUM_EPOCHS,10.0,0.11457431457431458,0.4675324675324675,0.18404599862210175
LEARNING_RATE,1e-05,0.11457431457431458,0.3961038961038961,0.1777374927982444
LEARNING_RATE,2e-05,0.11457431457431458,0.35714285714285715,0.1734912380369707
LEARNING_RATE,3e-05,0.11457431457431458,0.38311688311688313,0.17639594386477542
LEARNING_RATE,4e-05,0.11457431457431458,0.2922077922077922,0.16460658887051224
LEARNING_RATE,5e-05,0.11457431457431458,0.37662337662337664,0.17569856700291483
WARMUP_RATIO,0.0,0.11457431457431458,0.3961038961038961,0.1777374927982444
WARMUP_RATIO,0.1,0.11457431457431458,0.35714285714285715,0.1734912380369707
WARMUP_RATIO,0.2,0.11457431457431458,0.37012987012987014,0.17498250484258224
WARMUP_RATIO,0.3,0.11457431457431458,0.37012987012987014,0.17498250484258224
WARMUP_RATIO,0.4,0.11457431457431458,0.3051948051948052,0.16660342064260938
WARMUP_RATIO,0.5,0.11457431457431458,0.36363636363636365,0.17424699621440723
WEIGHT_DECAY,0.0,0.11457431457431458,0.38311688311688313,0.17639594386477542
WEIGHT_DECAY,0.01,0.11457431457431458,0.36363636363636365,0.17424699621440723
WEIGHT_DECAY,0.05,0.11457431457431458,0.37662337662337664,0.17569856700291483
WEIGHT_DECAY,0.1,0.11457431457431458,0.4025974025974026,0.17838300092764378
WEIGHT_DECAY,0.2,0.11457431457431458,0.38311688311688313,0.17639594386477542
